t,step,linear,cosine,impulse (0.05s)
0.013799999999999972,7.868695036565115e-14,5.445365018652869e-13,2.164268175105238e-13,6.899958239803729e-09
0.013899999999999971,1.3253812563457746e-14,7.758134780707877e-13,3.59926678666653e-13,8.74904622699677e-09
0.01399999999999997,6.684624066145994e-14,1.065617887466016e-12,5.426308003274986e-13,1.1070097571970838e-08
0.01409999999999997,1.6642567342102574e-13,1.429017984647237e-12,7.740435864101158e-13,1.3977524498463587e-08
0.01419999999999997,2.9038488734908196e-13,1.885901415034146e-12,1.0638941187588393e-12,1.7611991303856655e-08
0.014299999999999969,4.4818159491803676e-13,2.460487735409412e-12,1.4271904915980472e-12,2.214610086827806e-08
0.014399999999999968,6.449512029243073e-13,3.186711268107928e-12,1.8837300769222067e-12,2.7791216792205335e-08
0.014499999999999968,8.857351099704762e-13,4.099177311702575e-12,2.453181111448315e-12,3.480566462714153e-08
0.014599999999999967,1.185520848719386e-12,5.246399471743987e-12,3.169354743979707e-12,4.350456196183703e-08
0.014699999999999967,1.5587059332866356e-12,6.687357204385293e-12,4.066675282331563e-12,5.427156577094129e-08
0.014799999999999966,2.029166804382207e-12,8.500060928658804e-12,5.1889648264968484e-12,6.757290281095548e-08
0.014899999999999965,2.6167008065044136e-12,1.0772092500106128e-11,6.595160221564567e-12,8.397407305892338e-08
0.014999999999999965,3.3504695122192127e-12,1.3620686617760407e-11,8.357838575476853e-12,1.0415972924885419e-07
0.015099999999999964,4.264654637529559e-12,1.7191153555805783e-11,1.0564572750462523e-11,1.289572599585997e-07
0.015199999999999964,5.403016166640158e-12,2.1658197705849553e-11,1.3322132390991443e-11,1.5936475049104453e-07
0.015299999999999963,6.819036503188782e-12,2.723180545070985e-11,1.6766843934002333e-11,1.9658402429002132e-07
0.015399999999999962,8.580535453602481e-12,3.4174060027438034e-11,2.105862740589374e-11,2.4205967786606814e-07
0.015499999999999962,1.0765439895982891e-11,4.280997589119797e-11,2.639681329703931e-11,2.975250689570622e-07
0.015599999999999961,1.3470942953606827e-11,5.353709165870226e-11,3.3028803054228224e-11,3.650564207815244e-07
0.01569999999999996,1.6822674362678886e-11,6.684444373150165e-11,4.1254686633431025e-11,4.4713636270313005e-07
0.01579999999999996,2.0966158169867528e-11,8.332259363860847e-11,5.143785168617533e-11,5.467284261649322e-07
0.01589999999999996,2.608059197222624e-11,1.0368867837492408e-10,6.402798261481856e-11,6.673642171584725e-07
0.01599999999999996,3.2388237444545635e-11,1.288223178965527e-10,7.956201174339613e-11,8.132452635549382e-07
0.016099999999999958,4.0154997277803756e-11,1.5978242087995062e-10,9.86978396153746e-11,9.89361815297744e-07
0.016199999999999957,4.97044737033528e-11,1.978583688910469e-10,1.222321807277572e-10,1.2016311677901118e-06
0.016299999999999957,6.142769261353774e-11,2.446144531105434e-10,1.511304195719466e-10,1.457058456948565e-06
0.016399999999999956,7.579742053480307e-11,3.0193213639434704e-10,1.8655542463061062e-10,1.7639232651790477e-06
0.016499999999999956,9.338267350877309e-11,3.7208222831644047e-10,2.299148717750241e-10,2.1319958270120773e-06
0.016599999999999955,1.1486759519685636e-10,4.578022856140439e-10,2.8290016303046806e-10,2.572787127090195e-06
0.016699999999999954,1.4108083646422806e-10,5.623857998867965e-10,3.475434771492641e-10,3.0998377075017476e-06
0.016799999999999954,1.7301354207080534e-10,6.897797233745887e-10,4.262902038141758e-10,3.7290506778601473e-06
0.016899999999999953,2.1184906988620354e-10,8.447216382600914e-10,5.220649325982586e-10,4.479075042591734e-06
0.016999999999999953,2.590108811028519e-10,1.0328797718669755e-09,6.383767425277825e-10,5.37174626734006e-06
0.017099999999999952,3.1619942652387744e-10,1.2610333700647898e-09,7.794107858613207e-10,6.432591808062263e-06
0.01719999999999995,3.854412197739952e-10,1.537263651987598e-09,9.501703335513201e-10,7.691410297397264e-06
0.01729999999999995,4.691548953573068e-10,1.8712076678091774e-09,1.1566110120632874e-09,9.18293404701425e-06
0.01739999999999995,5.702137407314817e-10,2.2743328007852967e-09,1.4058225756111088e-09,1.0947585691319242e-05
0.01749999999999995,6.920356787131156e-10,2.760258804686412e-09,1.706231969830359e-09,1.3032340987512496e-05
0.01759999999999995,8.386785677524114e-10,3.3451547306812796e-09,2.0678335581726307e-09,1.5491711178805016e-05
0.01769999999999995,1.0149453893318468e-09,4.04817399407571e-09,2.5024693672031053e-09,1.838885972071264e-05
0.017799999999999948,1.2265214505081131e-09,4.891981567765158e-09,3.024156610981483e-09,2.1796869839614666e-05
0.017899999999999947,1.480123162074174e-09,5.903353089832231e-09,3.649459825155234e-09,2.58001810809802e-05
0.017999999999999947,1.7836811103094234e-09,7.1138835937635265e-09,4.3979214484479566e-09,3.0496214916111875e-05
0.018099999999999946,2.1465317833256764e-09,8.560797792779406e-09,5.292567506304541e-09,3.599721147011698e-05
0.018199999999999945,2.579673516761634e-09,1.0287905660443772e-08,6.3604983898859365e-09,4.2432301681379574e-05
0.018299999999999945,3.0960265527569105e-09,1.2346691557534391e-08,7.63355925648169e-09,4.994984153536199e-05
0.018399999999999944,3.710756214849392e-09,1.4797576476410561e-08,9.149126417660108e-09,5.8720037571972294e-05
0.018499999999999944,4.441637299580623e-09,1.7711376980232776e-08,1.0951007713677464e-08,6.893789557109597e-05
0.018599999999999943,5.309476708029786e-09,2.1170981755754055e-08,1.3090488669210045e-08,8.082652724476586e-05
0.018699999999999942,6.338603622980782e-09,2.527329165528535e-08,1.5627520994118103e-08,9.46408528733121e-05
0.018799999999999942,7.557424401020803e-09,3.013143396373444e-08,1.863210355549525e-08,0.00011067174112273605
0.01889999999999994,8.999060745790096e-09,3.587731970861399e-08,2.218586150838185e-08,0.00012925063072700824
0.01899999999999994,1.0702086785480363e-08,4.2664568512635066e-08,2.6383851723796028e-08,0.0001507546824762647
0.01909999999999994,1.2711369843442127e-08,5.067184362982339e-08,3.133664502418125e-08,0.00017561251382482808
0.01919999999999994,1.5079046749753897e-08,6.010669340600021e-08,3.7172678092280787e-08,0.0002043105724935909
0.01929999999999994,1.7865600620065027e-08,7.120991117771788e-08,4.404098380880166e-08,0.00023740020973668272
0.019399999999999938,2.114112525946368e-08,8.426052390841234e-08,5.2114261777649494e-08,0.0002755055184141049
0.019499999999999938,2.4986760528249623e-08,9.958146675391367e-08,6.15924085806104e-08,0.00031933200561471233
0.019599999999999937,2.9496305354744485e-08,1.1754603682974539e-07,7.270649895505642e-08,0.00036967617440744724
0.019699999999999936,3.477806774253904e-08,1.3858524204677125e-07,8.57233556912366e-08,0.00042743609419819157
0.019799999999999936,4.095697218820453e-08,1.6319612132334815e-07,1.0095069054200303e-07,0.0004936230442581974
0.019899999999999935,4.817692288930014e-08,1.9195118426738488e-07,1.1874296821506571e-07,0.0005693743201477445
0.019999999999999934,5.660350002630196e-08,2.2550910550134636e-07,1.3950802699262234e-07,0.0006559672979947014
0.020099999999999934,6.642700662578978e-08,2.6462679169299324e-07,1.637145581482087e-07,0.0007548348568665106
0.020199999999999933,7.786591014321195e-08,3.101730509130676e-07,1.9190058337318232e-07,0.0008675822647961378
0.020299999999999933,9.117071064215203e-08,3.6314397193171937e-07,2.2468299333023806e-07,0.0009960056392023635
0.020399999999999932,1.0662831873358029e-07,4.246802760333499e-07,2.627683058423507e-07,0.0011421120977038453
0.02049999999999993,1.24566984897566e-07,4.960868361174286e-07,3.069647607059319e-07,0.001308141720266006
0.02059999999999993,1.4536181570368407e-07,5.788546188895634e-07,3.581959445161177e-07,0.0014965914485696034
0.02069999999999993,1.6944100497799271e-07,6.746853179290146e-07,4.1751605937474013e-07,0.0017102410529537303
0.02079999999999993,1.972927983173404e-07,7.855189836441248e-07,4.861270743117069e-07,0.0019521813016367725
0.02089999999999993,2.2947329867721446e-07,9.135649721559775e-07,5.653979206691801e-07,0.0022258444707416256
0.02099999999999993,2.6661521518878606e-07,1.0613365743560181e-06,6.568859808100121e-07,0.0025350373369924634
0.021099999999999928,3.0943762338756787e-07,1.2316896966940428e-06,7.623611095171954e-07,0.002883976797763456
0.021199999999999927,3.587568852295944e-07,1.4278660688492103e-06,8.838324394650508e-07,0.003277328265275777
0.021299999999999927,4.154988205339826e-07,1.6535414056265817e-06,1.0235782963078802e-06,0.0037202469830825906
0.021399999999999926,4.807122466816651e-07,1.91287904508296e-06,1.1841794980335887e-06,0.0042184224134487434
0.021499999999999925,5.555840859900873e-07,2.2105896371032974e-06,1.3685564226112743e-06,0.0047781258436522065
0.021599999999999925,6.414561265350178e-07,2.551997447837375e-06,1.5800102091115451e-06,0.005406261357672462
0.021699999999999924,7.39843653424634e-07,2.943113985717627e-06,1.822268480996882e-06,0.0061104203167430034
0.021799999999999924,8.524560902492379e-07,3.390719610737204e-06,2.0995360747277412e-06,0.006898939488051579
0.021899999999999923,9.812198979669712e-07,3.90245393612171e-06,2.416551217798174e-06,0.007780962955064357
0.021999999999999922,1.1283038985320273e-06,4.4869158297879515e-06,2.778647694927809e-06,0.008766507935608348
0.022099999999999922,1.2961472684454223e-06,5.153773928326161e-06,3.1918235644009884e-06,0.009866534624563078
0.02219999999999992,1.4874904661683015e-06,5.9138886216367015e-06,3.662817014505515e-06,0.01109302016700238
0.02229999999999992,1.7054093439039403e-06,6.779446571913762e-06,4.199190040124075e-06,0.01245903685442209
0.02239999999999992,1.953352726018589e-06,7.76410885298161e-06,4.80942062047035e-06,0.013978834621284963
0.02249999999999992,2.235183777150903e-06,8.883173962714952e-06,5.503004153130091e-06,0.015667927901497757
0.02259999999999992,2.555225493878982e-06,1.0153756958778127e-05,6.290564972507733e-06,0.017543186884132738
0.022699999999999918,2.9183106735303186e-06,1.1594986116816396e-05,7.183978785967592e-06,0.01962293318504935
0.022799999999999918,3.329836724025557e-06,1.3228218596614074e-05,8.196506995740923e-06,0.02192703992543099
0.022899999999999917,3.7958257515153074e-06,1.5077276683824807e-05,9.34294386725749e-06,0.024477036179989167
0.022999999999999916,4.322990327498089e-06,1.7168706283627404e-05,1.0639777614096777e-05,0.027296215726268894
0.023099999999999916,4.918805438871051e-06,1.9532059495773914e-05,1.2105366520987982e-05,0.03040974999210848
0.023199999999999915,5.591587088712473e-06,2.220020311123614e-05,1.3760131301837223e-05,0.03384480506096201
0.023299999999999915,6.3505780665481765e-06,2.5209655099169005e-05,1.5626764973201746e-05,0.03763066255413262
0.023399999999999914,7.2060414632073675e-06,2.8600951205347077e-05,1.77304615712676e-05,0.0417988441651472
0.023499999999999913,8.169362510603815e-06,3.241904393031097e-05,2.0099165178251524e-05,0.046383239574589216
0.023599999999999913,9.253159380619477e-06,3.671373627337589e-05,2.276384070516142e-05,0.05142023742335146
0.023699999999999912,1.0471403586618332e-05,4.1540152744841025e-05,2.575876809437993e-05,0.05694885896900648
0.02379999999999991,1.1839550698297388e-05,4.695925033811707e-05,2.912186156198716e-05,0.06301089399339578
0.02389999999999991,1.3374682098412105e-05,5.303837219210542e-05,3.289501568359388e-05,0.06965103847013739
0.02399999999999991,1.5095658538928208e-05,5.9851846917472865e-05,3.712448015409379e-05,0.07691703343833105
0.02409999999999991,1.7023286333089427e-05,6.748163661715656e-05,4.1861265170710616e-05,0.08485980446369386
0.02419999999999991,1.91804970075709e-05,7.601803678825299e-05,4.716157947820573e-05,0.09353360100083928
0.02429999999999991,2.1592541318000728e-05,8.556043146488139e-05,5.308730319974982e-05,0.10299613490061585
